Title,Date
"Kung Fu Panda 2","08/12/20"
"La estrella de Belén","07/12/20"
"Jingle Jangle: Una mágica Navidad","06/12/20"
"La Nochebuena es mi condena","06/12/20"
"Creed II: Defendiendo el legado","05/12/20"
"Creed: Corazón de campeón","05/12/20"
"La lista perfecta de Navidad","04/12/20"
"El teléfono","04/12/20"
"Un príncipe de Navidad: Bebé real","02/12/20"
"Gambito de dama: Miniserie: Aperturas","30/11/20"
"Las crónicas de Navidad: Parte dos","28/11/20"
"El caballero de la Navidad","25/11/20"
"Un príncipe de Navidad","25/11/20"
"Flechazo a primera vista","23/11/20"
"Intercambio de princesas 2","22/11/20"
"Un príncipe de Navidad: La boda real","20/11/20"
"Una Navidad en Alaska","19/11/20"
"El secreto de Navidad","16/11/20"
"Una Navidad a la medida","14/11/20"
"Operación Feliz Navidad","13/11/20"
"Stranger: Temporada 2: Episodio 6","06/11/20"
"Stranger: Temporada 2: Episodio 5","06/11/20"
"Stranger: Temporada 2: Episodio 4","04/11/20"
"Stranger: Temporada 2: Episodio 3","04/11/20"
"Stranger: Temporada 2: Episodio 2","03/11/20"
"Stranger: Temporada 2: Episodio 1","03/11/20"
"Escuadrón 6","31/10/20"
"Amor de calendario","31/10/20"
"Stranger: Temporada 1: Final: Episodio 16","30/10/20"
"Stranger: Temporada 1: Episodio 15","30/10/20"
"Stranger: Temporada 1: Episodio 14","28/10/20"
"Stranger: Temporada 1: Episodio 13","28/10/20"
"Stranger: Temporada 1: Episodio 12","28/10/20"
"Stranger: Temporada 1: Episodio 11","27/10/20"
"Stranger: Temporada 1: Episodio 10","26/10/20"
"Stranger: Temporada 1: Episodio 9","26/10/20"
"Stranger: Temporada 1: Episodio 8","26/10/20"
"Stranger: Temporada 1: Episodio 7","25/10/20"
"Stranger: Temporada 1: Episodio 6","25/10/20"
"El Halloween de Hubie","25/10/20"
"Stranger: Temporada 1: Episodio 5","24/10/20"
"Stranger: Temporada 1: Episodio 4","24/10/20"
"Stranger: Temporada 1: Episodio 3","24/10/20"
"Stranger: Temporada 1: Episodio 2","24/10/20"
"Stranger: Temporada 1: Episodio 1","23/10/20"
"The Alienist: Sonrisa de plata","23/10/20"
"Rebellion: Temporada 1: A las armas","23/10/20"
"Flash: Temporada 6: Un destello de relámpago","22/10/20"
"Flash: Temporada 6: Hacia el vacío","22/10/20"
"The Blacklist: Temporada 7: Los hermanos Kazanjian","22/10/20"
"The Blacklist: Temporada 7: Roy Cain (N.° 150)","21/10/20"
"The Blacklist: Temporada 7: Hermanos","21/10/20"
"The Blacklist: Temporada 7: Nyle Hatcher (N.° 149)","21/10/20"
"The Blacklist: Temporada 7: Gordon Kemp (N.° 158)","19/10/20"
"The Blacklist: Temporada 7: Twamie Ullulaq (N.° 126)","19/10/20"
"The Blacklist: Temporada 7: Newton Purcell (N.° 144)","19/10/20"
"The Blacklist: Temporada 7: Cornelius Ruck (N.° 155)","18/10/20"
"The Blacklist: Temporada 7: Victoria Fenberg (N.° 137)","18/10/20"
"The Blacklist: Temporada 7: Katarina Rostova (N.° 3)","17/10/20"
"The Blacklist: Temporada 7: Orión Servicios de Mudanza (N.° 159)","17/10/20"
"The Blacklist: Temporada 7: El hawaladar (N.° 162)","17/10/20"
"The Blacklist: Temporada 7: Hannah Hayes (N.° 125)","17/10/20"
"The Blacklist: Temporada 7: Doctor Lewis Powell (N.° 130)","16/10/20"
"The Blacklist: Temporada 7: Norman Devane (N.° 138)","15/10/20"
"The Blacklist: Temporada 7: Kuwait","15/10/20"
"The Blacklist: Temporada 7: Les Fleurs Du Mal (N.° 151)","15/10/20"
"Rebellion: Temporada 1: Jóvenes","14/10/20"
"The Blacklist: Temporada 7: Louis T. Steinhil (N.° 27): Conclusión","14/10/20"
"The Blacklist: Temporada 7: Louis T. Steinhil (N.° 27)","14/10/20"
"Ultraviolet: Temporada 2: Episodio 12","13/10/20"
"Ultraviolet: Temporada 2: Episodio 11","13/10/20"
"Ultraviolet: Temporada 2: Episodio 10","12/10/20"
"La maldición de Bly Manor: El mejor de los lugares","12/10/20"
"Tomb Raider: Las aventuras de Lara Croft","10/10/20"
"Kong: La isla calavera","05/10/20"
"El rey Arturo: La leyenda de la espada","03/10/20"
"The Umbrella Academy: Temporada 2: El fin de algo","03/10/20"
"The Umbrella Academy: Temporada 2: Orden 743","01/10/20"
"The Umbrella Academy: Temporada 2: Las siete etapas","01/10/20"
"The Umbrella Academy: Temporada 2: Ojo por ojo","01/10/20"
"The Umbrella Academy: Temporada 2: Una cena tranquila","01/10/20"
"The Umbrella Academy: Temporada 2: Reunión de emergencia","30/09/20"
"The Umbrella Academy: Temporada 2: Los Doce majestuosos","29/09/20"
